n_qubits,J,h,h_over_J,ground_energy,energy_per_site,transverse_magnetization,nearest_neighbor_zz
4,1.0000000000,0.0000000000,0.0000000000,-3.0000000000,-0.7500000000,0.0000000000,1.0000000000
4,1.0000000000,0.0500000000,0.0500000000,-3.0037570162,-0.7509392540,0.0376401721,0.9987429939
4,1.0000000000,0.1000000000,0.1000000000,-3.0151115238,-0.7537778809,0.0761102820,0.9948891370
4,1.0000000000,0.1500000000,0.1500000000,-3.0343082031,-0.7585770508,0.1161823707,0.9881995935
4,1.0000000000,0.2000000000,0.2000000000,-3.0617348040,-0.7654337010,0.1585025130,0.9783109312
4,1.0000000000,0.2500000000,0.2500000000,-3.0978888824,-0.7744722206,0.2035076895,0.9647937310
4,1.0000000000,0.3000000000,0.3000000000,-3.1433267964,-0.7858316991,0.2513337411,0.9472421024
4,1.0000000000,0.3500000000,0.3500000000,-3.1985950561,-0.7996487640,0.3017358416,0.9253882926
4,1.0000000000,0.4000000000,0.4000000000,-3.2641498343,-0.8160374586,0.3540558890,0.8992201373
4,1.0000000000,0.4500000000,0.4500000000,-3.3402775487,-0.8350693872,0.4072701210,0.8690637769
4,1.0000000000,0.5000000000,0.5000000000,-3.4270340889,-0.8567585222,0.4601264023,0.8355937615
4,1.0000000000,0.5500000000,0.5500000000,-3.5242182898,-0.8810545724,0.5113411314,0.7997559336
4,1.0000000000,0.6000000000,0.6000000000,-3.6313858088,-0.9078464522,0.5597952642,0.7626257250
4,1.0000000000,0.6500000000,0.6500000000,-3.7478969957,-0.9369742489,0.6046703618,0.7252513517
4,1.0000000000,0.7000000000,0.7000000000,-3.8729833462,-0.9682458366,0.6454972244,0.6885303727
4,1.0000000000,0.7500000000,0.7500000000,-4.0058155667,-1.0014538917,0.6821276092,0.6531442464
4,1.0000000000,0.8000000000,0.8000000000,-4.1455609133,-1.0363902283,0.7146612380,0.6195483173
4,1.0000000000,0.8500000000,0.8500000000,-4.2914242818,-1.0728560705,0.7433610303,0.5879989263
4,1.0000000000,0.9000000000,0.9000000000,-4.4426730871,-1.1106682718,0.7685782497,0.5585971294
4,1.0000000000,0.9500000000,0.9500000000,-4.5986490026,-1.1496622507,0.7906965800,0.5313339996
4,1.0000000000,1.0000000000,1.0000000000,-4.7587704831,-1.1896926208,0.8100954855,0.5061295137
4,1.0000000000,1.0500000000,1.0500000000,-4.9225295954,-1.2306323989,0.8271291662,0.4828623657
4,1.0000000000,1.1000000000,1.1000000000,-5.0894858133,-1.2723714533,0.8421165072,0.4613910605
4,1.0000000000,1.1500000000,1.1500000000,-5.2592585600,-1.3148146400,0.8553380188,0.4415678912
4,1.0000000000,1.2000000000,1.2000000000,-5.4315195827,-1.3578798957,0.8670368110,0.4232476300
4,1.0000000000,1.2500000000,1.2500000000,-5.6059857540,-1.4014964385,0.8774216306,0.4062925336
4,1.0000000000,1.3000000000,1.3000000000,-5.7824125799,-1.4456031450,0.8866707437,0.3905749043
4,1.0000000000,1.3500000000,1.3500000000,-5.9605885089,-1.4901471272,0.8949359661,0.3759780973
4,1.0000000000,1.4000000000,1.4000000000,-6.1403300282,-1.5350825070,0.9023464768,0.3623965860
4,1.0000000000,1.4500000000,1.4500000000,-6.3214774861,-1.5803693715,0.9090122455,0.3497354875
4,1.0000000000,1.5000000000,1.5000000000,-6.5038915571,-1.6259728893,0.9150270221,0.3379098082
4,1.0000000000,1.5500000000,1.5500000000,-6.6874502602,-1.6718625651,0.9204708958,0.3268435688
4,1.0000000000,1.6000000000,1.6000000000,-6.8720464495,-1.7180116124,0.9254124585,0.3164689050
4,1.0000000000,1.6500000000,1.6500000000,-7.0575857017,-1.7643964254,0.9299106219,0.3067251991
4,1.0000000000,1.7000000000,1.7000000000,-7.2439845369,-1.8109961342,0.9340161363,0.2975582701
4,1.0000000000,1.7500000000,1.7500000000,-7.4311689163,-1.8577922291,0.9377728576,0.2889196377
4,1.0000000000,1.8000000000,1.8000000000,-7.6190729726,-1.9047682432,0.9412188045,0.2807658601
4,1.0000000000,1.8500000000,1.8500000000,-7.8076379333,-1.9519094833,0.9443870396,0.2730579468
4,1.0000000000,1.9000000000,1.9000000000,-7.9968112052,-1.9992028013,0.9473064060,0.2657608399
4,1.0000000000,1.9500000000,1.9500000000,-8.1865455940,-2.0466363985,0.9500021437,0.2588429578
4,1.0000000000,2.0000000000,2.0000000000,-8.3767986369,-2.0941996592,0.9524964063,0.2522757955
